127.0.0.1 - - [26/Jun/2022:23:39:52 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [26/Jun/2022:23:39:52 +0530] "GET /web-customer-tracker/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Jun/2022:23:39:52 +0530] "GET /web-customer-tracker/customer/list HTTP/1.1" 500 26804
0:0:0:0:0:0:0:1 - - [26/Jun/2022:23:39:53 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [26/Jun/2022:23:40:10 +0530] "GET /web-customer-tracker/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Jun/2022:23:40:10 +0530] "GET /web-customer-tracker/customer/list HTTP/1.1" 500 26804
0:0:0:0:0:0:0:1 - - [26/Jun/2022:23:40:24 +0530] "GET /web-customer-tracker/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Jun/2022:23:40:25 +0530] "GET /web-customer-tracker/customer/list HTTP/1.1" 200 2967
0:0:0:0:0:0:0:1 - - [26/Jun/2022:23:40:30 +0530] "GET /web-customer-tracker/customer/showFormForAdd HTTP/1.1" 200 1121
0:0:0:0:0:0:0:1 - - [26/Jun/2022:23:40:35 +0530] "POST /web-customer-tracker/customer/saveCustomer HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Jun/2022:23:40:35 +0530] "GET /web-customer-tracker/customer/list HTTP/1.1" 200 3520
0:0:0:0:0:0:0:1 - - [26/Jun/2022:23:40:40 +0530] "GET /web-customer-tracker/customer/delete?customerId=7 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Jun/2022:23:40:40 +0530] "GET /web-customer-tracker/customer/list HTTP/1.1" 200 2967
0:0:0:0:0:0:0:1 - - [26/Jun/2022:23:43:29 +0530] "GET /web-customer-tracker/customer/showFormForAdd HTTP/1.1" 500 5080
0:0:0:0:0:0:0:1 - - [26/Jun/2022:23:43:33 +0530] "GET /web-customer-tracker/customer/showFormForAdd HTTP/1.1" 500 5080
0:0:0:0:0:0:0:1 - - [26/Jun/2022:23:44:02 +0530] "GET /web-customer-tracker/customer/list HTTP/1.1" 200 2967
0:0:0:0:0:0:0:1 - - [26/Jun/2022:23:44:13 +0530] "GET /web-customer-tracker/customer/showFormForUpdate?customerId=5 HTTP/1.1" 200 1149
0:0:0:0:0:0:0:1 - - [26/Jun/2022:23:44:20 +0530] "POST /web-customer-tracker/customer/saveCustomer HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Jun/2022:23:44:20 +0530] "GET /web-customer-tracker/customer/list HTTP/1.1" 200 2966
0:0:0:0:0:0:0:1 - - [26/Jun/2022:23:44:39 +0530] "GET /web-customer-tracker/customer/showFormForUpdate?customerId=4 HTTP/1.1" 200 1148
0:0:0:0:0:0:0:1 - - [26/Jun/2022:23:44:54 +0530] "POST /web-customer-tracker/customer/saveCustomer HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Jun/2022:23:44:54 +0530] "GET /web-customer-tracker/customer/list HTTP/1.1" 200 2967
0:0:0:0:0:0:0:1 - - [26/Jun/2022:23:48:04 +0530] "GET /web-customer-tracker/customer/list HTTP/1.1" 200 2967
